epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9722,1.56517,3.43073,1.32121,0.02553,0.19053,0.0153,0.00889,1.24,3.36359,1.22561,4e-05,4e-05,4e-05
2,20.9238,1.52638,3.38703,1.33737,0.04634,0.34587,0.03323,0.02025,1.102,3.28955,1.10831,9.802e-05,9.802e-05,9.802e-05
3,23.9514,1.1474,3.21427,1.15085,0.08228,0.61408,0.08687,0.05403,1.0843,3.18512,1.01062,0.000153664,0.000153664,0.000153664
4,26.4021,1.22081,3.04206,1.04358,0.1174,0.87621,0.20362,0.13894,1.01045,3.08173,0.94129,0.000206932,0.000206932,0.000206932
5,28.5181,1.13028,2.75043,1.00642,0.12512,0.93386,0.28657,0.18563,1.08911,3.04553,0.95714,0.000257824,0.000257824,0.000257824
6,30.7754,1.15656,2.35234,0.99196,0.12593,0.93993,0.32378,0.21132,1.10497,2.99913,0.95969,0.00030634,0.00030634,0.00030634
7,32.7352,1.16764,2.35183,0.98125,0.12756,0.95206,0.35531,0.23344,1.09765,2.91949,0.95204,0.00035248,0.00035248,0.00035248
8,34.3434,1.14653,1.96486,0.99621,0.12862,0.95995,0.37159,0.24913,1.07049,2.87697,0.93732,0.000396244,0.000396244,0.000396244
9,36.0727,1.15895,1.91529,0.98402,0.12886,0.96177,0.39615,0.26361,1.04792,2.80738,0.92297,0.000437632,0.000437632,0.000437632
10,38.3796,1.13179,1.81346,0.95599,0.12813,0.95631,0.38215,0.24442,1.10914,2.78253,0.9418,0.000476644,0.000476644,0.000476644
11,41.5189,1.16124,1.7177,0.94254,0.12789,0.95449,0.36567,0.22691,1.26252,2.71867,0.99285,0.00051328,0.00051328,0.00051328
12,43.6428,1.17731,1.42488,1.00572,0.12854,0.95934,0.38785,0.25124,1.15742,2.68609,0.961,0.00054754,0.00054754,0.00054754
