epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8746,1.56517,3.43073,1.32121,0.01311,0.06257,0.0119,0.00817,1.37531,3.47098,1.18877,4e-05,4e-05,4e-05
2,61.64,1.52645,3.3871,1.33742,0.02867,0.1368,0.01633,0.00935,1.31366,3.40387,1.1079,9.901e-05,9.901e-05,9.901e-05
3,63.5572,1.14586,3.21152,1.14938,0.07044,0.33616,0.05077,0.03,1.48033,3.28945,1.08547,0.000156832,0.000156832,0.000156832
4,65.2275,1.21634,3.0355,1.04123,0.13022,0.62142,0.13893,0.08893,1.28051,3.17516,0.97012,0.000213466,0.000213466,0.000213466
5,66.9024,1.1304,2.73643,1.00627,0.13711,0.65429,0.17351,0.10046,1.45708,3.18977,1.04803,0.000268912,0.000268912,0.000268912
6,68.707,1.16142,2.32621,0.99114,0.14311,0.68293,0.20135,0.11867,1.39743,3.14497,1.01686,0.00032317,0.00032317,0.00032317
7,70.4842,1.17558,2.32925,0.98363,0.15156,0.72322,0.22739,0.14464,1.27821,3.05419,0.9583,0.00037624,0.00037624,0.00037624
8,72.4597,1.14947,1.92785,0.99664,0.15222,0.72641,0.23743,0.15186,1.27868,3.01672,0.96577,0.000428122,0.000428122,0.000428122
9,74.231,1.16945,1.87576,0.9846,0.15533,0.74125,0.25108,0.15492,1.32713,2.95797,0.99078,0.000478816,0.000478816,0.000478816
10,76.5306,1.13823,1.76236,0.95591,0.158,0.75398,0.24563,0.14924,1.31721,2.92022,0.97849,0.000528322,0.000528322,0.000528322
11,78.6655,1.17569,1.66817,0.94714,0.15911,0.75928,0.22558,0.13733,1.35473,2.83577,0.98441,0.00057664,0.00057664,0.00057664
12,80.3107,1.18827,1.36841,1.00885,0.16044,0.76564,0.22998,0.13742,1.31895,2.81171,0.98461,0.00062377,0.00062377,0.00062377
13,81.9917,1.13328,1.23557,0.98858,0.15178,0.72428,0.25335,0.14508,1.44089,2.84929,1.03847,0.000669712,0.000669712,0.000669712
14,83.526,1.265,1.24984,0.97951,0.14333,0.68399,0.2613,0.16255,1.35916,2.82333,0.99861,0.000714466,0.000714466,0.000714466
15,85.0859,1.10555,1.02012,0.9741,0.16289,0.77731,0.33149,0.22375,1.40595,2.66713,0.99041,0.000758032,0.000758032,0.000758032
16,86.9145,1.11845,0.99555,0.98046,0.17022,0.8123,0.34346,0.22707,1.39959,2.64528,0.99049,0.00080041,0.00080041,0.00080041
17,88.7681,1.09039,0.88207,0.98745,0.17911,0.85472,0.50194,0.32008,1.30107,2.41667,0.97588,0.0008416,0.0008416,0.0008416
18,90.5659,1.10806,0.87412,0.9689,0.24052,0.8929,0.63648,0.39323,1.28482,2.23598,0.97064,0.000881602,0.000881602,0.000881602
